sheet_name,raw_sugar_color,raw_syrup_brix,raw_syrup_color,lime_alkalinity,co2_percent,carbonated_alkalinity,carbonated_pH,filtercake_moisture,filtercake_sugar,sweetwater_brix,sulphited_pH,sulphited_brix,sulphited_color,standard_liquor_pH,standard_liquor_brix,standard_liquor_color,white_moisture,white_invert,white_solution_color,white_apparent_color,white_ash,white_total_points
7.02,924,65,2432,7.3,11.03,0,7.51,27.89,0.14,23.52,7.08,62.05,486,7.06,61.47,430,13.26,13.26,13.26,13.26,13.26,13.26
7.03,1059,62.5,2379,8.31,11.01,0,7.42,27.89,0.37,21.34,7.28,60.17,504,7.12,60.41,491,12.87,12.87,12.87,12.87,12.87,12.87
7.04,1535,65.17,2712,7.38,11.21,0,7.61,28.71,0.04,27.84,7.22,60.08,531,7.06,59.1,531,16.2,16.2,16.2,16.2,16.2,16.2
7.05,1082,64.47,2416,8.78,11.07,0,7.63,28.32,0.23,29.13,7.28,63.91,561,7.29,63.08,601,16.98,16.98,16.98,16.98,16.98,16.98
7.06,915,64.66,2157,8.92,11.14,0,7.48,28.35,0.1,40.12,7.29,62.28,389,7.33,60.79,396,14.53,14.53,14.53,14.53,14.53,14.53
7.07,976,61.73,2540,8.63,10.99,0,7.45,28.05,0,24.38,7.28,60.87,413,7.43,61.17,479,15.35,15.35,15.35,15.35,15.35,15.35
7.08,918,61.02,2673,8.21,10.98,0,7.34,29.54,0.04,19.62,7.03,57.1,386,7.59,57.43,452,15.02,15.02,15.02,15.02,15.02,15.02
7.09,1372,61.46,2318,8.62,10.34,0,7.35,28.11,0.09,33.76,6.79,60.46,416,7.18,59.35,475,16.44,16.44,16.44,16.44,16.44,16.44
7.1,1128,62.62,2338,8.03,10.94,0,7.4,28.05,0.16,30.17,6.94,63.48,466,7.14,60.42,388,12.14,12.14,12.14,12.14,12.14,12.14
7.11,1174,62.22,2356,8.93,11.08,0,7.41,27.89,0.25,24.01,7.12,62.68,456,7.25,63.1,412,14.76,14.76,14.76,14.76,14.76,14.76
7.12,1352,64.5,2417,7.63,10.94,0,7.53,28.02,0.39,24.61,7.17,62.63,461,7.13,63.43,508,17.23,17.23,17.23,17.23,17.23,17.23
7.13,1133,64.3,2611,6.87,10.33,0,7.51,28.02,0,23.52,6.5,61.28,473,7.03,62.05,555,14.81,14.81,14.81,14.81,14.81,14.81
7.14,1186,63.8,2522,7.7,11.03,0,7.48,27.89,0,21.97,7.39,63.6,564,7.23,62.46,475,17.88,17.88,17.88,17.88,17.88,17.88
7.15,1114,63.47,2508,7.67,10.86,0,7.38,27.89,0,25.95,6.79,63.92,461,7.17,61.98,482,17.44,17.44,17.44,17.44,17.44,17.44
7.16,1149,63.75,2127,7.8,11.15,0,7.47,28.06,0.1,20.7,7.22,61.72,399,7.17,61.95,476,14.34,14.34,14.34,14.34,14.34,14.34
7.17,1084,64.9,2525,7.13,11.2,0,7.61,29.51,0.2,30.64,6.71,62.87,524,7.29,62.1,545,15.85,15.85,15.85,15.85,15.85,15.85
7.18,1155,62.43,2444,8.15,10.33,0,7.51,28.32,0.02,34.58,6.91,62.42,456,7.38,63.1,604,13.9,13.9,13.9,13.9,13.9,13.9
7.19,1191,63.42,2432,7.89,10.72,0,7.51,28.05,0,39.12,7.01,59.37,481,6.37,61.73,585,13.89,13.89,13.89,13.89,13.89,13.89
