run,r2
0,0.9548850164485024
1,0.8656334383652446
2,0.8965611240029997
3,0.8776405509253294
4,0.8600154629412625
5,0.7575119674999519
6,0.7344821467857825
7,0.6476738987836683
8,0.6754817133291763
9,0.8308163683277335
10,0.9358616620181199
11,0.9521146224993049
12,0.9566811801234831
13,0.960021776739481
14,0.9548850164485024
